@relation seeds-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N3-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute Class {Kama,Rosa,Canadian}

@data
10.708924,8.975487,21.442443,Canadian
10.795526,9.269936,21.875455,Canadian
10.262747,8.584044,20.346747,Canadian
10.302931,8.585776,20.939455,Canadian
9.983194,8.303452,19.840296,Canadian
10.193119,8.738196,20.384506,Canadian
10.301026,8.661986,21.003368,Canadian
10.412223,8.888885,22.082782,Canadian
10.402004,8.814407,20.170771,Canadian
10.565337,8.681039,22.471454,Canadian
10.471979,8.511298,23.704847,Canadian
10.570013,8.587508,23.67471,Canadian
10.747202,8.817871,24.690211,Canadian
10.839347,9.060358,23.327433,Canadian
10.339304,8.365805,23.653579,Canadian
10.530696,8.738196,22.933912,Canadian
10.187403,8.218581,23.499946,Canadian
10.179263,8.362341,20.867748,Canadian
10.514241,8.660254,23.534067,Canadian
10.49744,8.661986,22.909316,Canadian
10.418805,8.435087,22.63496,Canadian
10.37689,8.66545,20.925079,Canadian
10.607599,8.757249,24.401651,Canadian
10.439243,8.736464,21.983362,Canadian
10.585255,8.769373,22.808338,Canadian
