@relation seeds-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N7-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute Class {Kama,Rosa,Canadian}

@data
11.672637,9.952364,31.192849,-29.65271,0,13.362426,4.950201,Rosa
11.703987,10.184459,30.158988,-28.6308,0,18.237975,9.581705,Rosa
11.957559,10.182727,33.978853,-32.423991,0,17.849303,9.221438,Rosa
12.426425,10.716198,36.527912,-34.987426,0,18.135611,8.959899,Rosa
12.57798,10.865155,35.416802,-33.896234,0,11.894166,2.549579,Rosa
12.546976,10.712734,35.313052,-33.792311,0,14.322328,5.130334,Rosa
12.228279,10.733519,33.180897,-31.644568,0,13.42859,4.2314,Rosa
12.091273,10.581098,34.254596,-32.701119,0,11.883774,2.856152,Rosa
12.831032,11.254866,34.362156,-32.874324,0,16.160034,6.393,Rosa
12.94171,10.792409,38.241777,-36.684836,0,19.246722,10.011254,Rosa
12.735943,10.948293,37.729436,-36.165221,0,18.072045,8.687967,Rosa
12.913478,11.169996,36.329073,-34.814221,0,13.041303,3.386159,Rosa
12.246292,10.484104,34.049348,-32.493273,0,14.332028,5.403999,Rosa
12.405987,10.484104,34.12244,-32.579876,0,14.548188,5.606648,Rosa
12.026668,10.179263,33.769102,-32.198825,0,19.003022,10.394037,Rosa
13.00978,11.168264,33.264382,-31.800453,0,18.248541,8.544207,Rosa
12.130937,10.335147,30.717575,-29.219697,0,15.238929,6.40166,Rosa
12.509737,10.804533,34.972704,-33.445901,0,15.300071,6.022341,Rosa
12.674628,11.176924,34.378957,-32.874324,0,13.385808,3.713517,Rosa
12.357663,10.865155,32.967335,-31.471363,0,14.310723,4.941541,Rosa
12.297561,10.560314,33.949928,-32.423991,0,12.824104,3.789727,Rosa
11.439503,9.730661,29.95859,-28.422954,0,15.499083,7.304058,Rosa
11.759239,10.109981,32.717054,-31.159594,0,12.134402,3.581881,Rosa
12.144274,10.407893,35.261956,-33.705709,0,16.313321,7.461675,Rosa
12.54126,10.788944,34.730563,-33.220734,0,15.09361,5.814495,Rosa
12.351081,10.648648,34.35159,-32.822363,0,14.952968,5.833547,Rosa
12.00086,10.182727,34.158986,-32.614517,0,13.060183,4.421926,Rosa
12.224122,10.738715,34.217703,-32.649158,0,14.09439,4.92422,Rosa
11.973667,10.269329,32.06026,-30.536056,0,15.235119,6.489994,Rosa
13.07733,11.344933,36.052984,-34.537093,0,15.461671,5.632629,Rosa
12.192772,10.208707,33.665006,-32.129542,0,11.683549,3.010304,Rosa
12.122797,10.035502,33.5015,-31.956337,0,12.361473,3.871134,Rosa
12.426772,10.331683,35.0768,-33.567145,0,15.19251,6.370483,Rosa
12.274178,10.260669,34.69904,-33.134132,0,12.348656,3.652895,Rosa
12.351601,10.484104,34.662147,-33.151452,0,20.546972,11.573563,Rosa
12.901873,10.939633,37.855529,-36.321105,0,17.506011,8.100802,Rosa
12.646396,10.674629,34.546446,-33.012888,0,13.034722,3.89365,Rosa
12.052822,9.959292,34.411866,-32.839683,0,15.893818,7.506708,Rosa
12.35645,10.712734,34.708566,-33.168773,0,14.514586,5.341645,Rosa
12.345712,10.333415,34.278671,-32.71844,0,15.076117,6.302933,Rosa
12.772316,10.946561,36.219088,-34.692978,0,14.725723,5.305272,Rosa
12.478906,10.71793,36.597714,-35.056708,0,19.397757,10.220832,Rosa
12.013851,10.411357,32.938757,-31.419402,0,15.160294,6.268292,Rosa
11.467562,9.877886,29.494747,-28.007262,0,15.81397,7.42357,Rosa
11.929846,10.22776,33.493879,-31.921696,0,13.824017,5.16844,Rosa
10.858919,8.909669,29.265423,-27.695492,0,13.11786,5.778121,Rosa
12.143235,10.378448,34.034625,-32.475953,0,16.073605,7.253829,Rosa
12.392477,10.568974,33.809285,-32.302748,0,16.667871,7.605435,Rosa
11.913565,10.252009,32.699907,-31.142274,0,12.603614,3.909239,Rosa
12.793793,10.712734,36.431091,-34.918144,0,12.508005,3.308217,Rosa
11.587593,9.80514,31.954779,-30.397492,0,17.542037,9.294185,Rosa
11.933484,10.326487,33.274082,-31.69653,0,13.662763,4.913828,Rosa
12.19052,10.30397,34.353842,-32.805042,0,13.791974,5.036804,Rosa
11.69931,10.037234,28.146865,-26.638941,0,16.257722,7.728411,Rosa
11.621022,10.037234,29.487126,-27.989941,0,15.928978,7.388929,Rosa
11.532514,10.127301,28.478899,-26.950711,0,17.210869,8.611757,Rosa
11.043556,9.420624,28.196055,-26.638941,0,14.098894,6.235383,Rosa
12.165059,10.342075,31.590009,-30.068402,0,14.92768,6.107211,Rosa
11.730661,10.182727,28.444951,-26.968031,0,13.278421,4.572614,Rosa
11.58742,9.962756,28.506092,-27.019993,0,13.196495,4.719838,Rosa
11.703467,10.257205,29.64405,-28.111185,0,15.252439,6.528099,Rosa
10.946561,9.344414,24.106683,-22.637904,0,17.062433,9.186797,Canadian
11.089109,9.422356,24.562732,-23.070917,0,20.115518,12.184977,Canadian
10.82705,9.191994,24.598586,-23.105558,0,18.08261,10.383645,Canadian
10.546804,9.043037,22.664231,-21.165661,0,17.017053,9.472586,Canadian
10.637217,8.968559,21.905939,-20.472841,0,15.279459,7.743999,Canadian
10.558062,9.136568,20.830855,-19.41629,0,18.407024,10.685021,Canadian
10.408759,8.888885,21.241005,-19.797341,0,11.292105,3.846885,Canadian
10.622321,8.663718,23.132924,-21.633315,0,14.821505,7.657397,Canadian
10.79951,9.207582,23.46773,-21.997045,0,13.383383,5.646486,Canadian
10.613488,8.996272,20.093002,-18.688828,0,17.05256,9.460462,Canadian
10.587334,9.191994,21.961711,-20.490161,0,16.718447,8.998004,Canadian
10.790503,9.127908,22.230699,-20.80193,0,19.809638,12.110499,Canadian
10.810249,9.283792,22.678261,-21.234943,0,16.078108,8.237634,Canadian
10.473018,8.661986,20.796041,-19.364328,0,13.001466,5.771193,Canadian
10.415168,9.115783,21.127902,-19.676097,0,14.67532,7.011342,Canadian
10.522728,9.039573,20.81111,-19.381649,0,17.678523,10.068411,Canadian
10.240924,8.66545,21.130327,-19.641456,0,12.973753,5.797174,Canadian
10.742352,9.041305,22.409447,-21.009776,0,15.99878,8.357145,Canadian
10.829128,9.19719,21.75144,-20.351597,0,15.380265,7.582918,Canadian
10.617991,9.19719,21.332457,-19.901264,0,17.098286,9.33229,Canadian
10.900662,9.510691,23.17917,-21.719917,0,13.389619,5.338181,Canadian
10.739235,9.193726,22.292014,-20.819251,0,15.118552,7.397589,Canadian
10.580406,8.739928,22.328906,-20.871212,0,15.921704,8.639469,Canadian
10.719316,8.965095,23.219527,-21.737238,0,15.136738,7.653933,Canadian
10.161596,8.745125,20.777335,-19.295046,0,18.327176,11.064341,Canadian
10.365112,8.757249,22.480807,-20.957815,0,11.0465,3.812244,Canadian
10.67844,9.127908,23.012373,-21.546712,0,16.190865,8.528618,Canadian
10.84489,9.245687,22.506788,-21.044417,0,14.084518,6.301201,Canadian
10.401138,8.888885,21.09482,-19.658777,0,14.964746,7.511904,Canadian
10.26396,8.812675,20.916072,-19.468251,0,13.463404,6.098551,Canadian
10.641547,8.942578,20.505576,-19.0872,0,19.189564,11.665362,Canadian
10.413955,8.584044,21.469636,-20.005187,0,18.750316,11.630721,Canadian
10.270888,8.660254,20.978426,-19.520213,0,14.665447,7.463407,Canadian
10.346405,8.814407,21.195972,-19.745379,0,17.042514,9.6787,Canadian
10.544552,8.980683,20.160898,-18.75811,0,16.553383,8.975487,Canadian
10.115177,8.769373,20.19398,-18.706149,0,15.54862,8.267079,Canadian
10.429544,8.819603,20.950021,-19.502892,0,16.612965,9.240491,Canadian
10.354027,8.596168,20.044851,-18.602226,0,15.297646,8.144103,Canadian
10.43959,8.663718,21.35151,-19.883943,0,17.373682,10.177531,Canadian
10.742699,8.968559,22.612443,-21.14834,0,10.381393,2.876936,Canadian
10.298774,8.357145,21.245335,-19.7627,0,15.460286,8.585776,Canadian
10.576941,8.914866,23.089276,-21.581353,0,16.044679,8.637737,Canadian
10.561873,8.933918,22.599626,-21.113699,0,15.860562,8.412571,Canadian
10.332549,8.894081,21.663625,-20.178392,0,16.4311,9.022253,Canadian
10.996964,9.207582,23.80548,-22.326135,0,18.440972,10.712734,Canadian
10.708924,8.975487,21.442443,-20.022507,0,14.591142,7.03559,Canadian
10.795526,9.269936,21.875455,-20.45552,0,16.333586,8.483585,Canadian
10.262747,8.584044,20.346747,-18.896674,0,14.372211,7.23824,Canadian
10.302931,8.585776,20.939455,-19.450931,0,20.129202,13.03195,Canadian
9.983194,8.303452,19.840296,-18.342418,0,15.422527,8.616953,Canadian
10.193119,8.738196,20.384506,-18.931315,0,16.634616,9.34961,Canadian
10.301026,8.661986,21.003368,-19.520213,0,14.081053,6.902222,Canadian
10.412223,8.888885,22.082782,-20.559443,0,13.595733,6.230187,Canadian
10.402004,8.814407,20.170771,-18.74079,0,15.790068,8.405643,Canadian
10.565337,8.681039,22.471454,-20.975135,0,14.341554,7.156834,Canadian
10.471979,8.511298,23.704847,-22.17025,0,15.416984,8.440284,Canadian
10.570013,8.587508,23.67471,-22.15293,0,16.562563,9.496835,Canadian
10.747202,8.817871,24.690211,-23.157519,0,15.373856,8.088677,Canadian
10.839347,9.060358,23.327433,-21.858481,0,13.317565,5.72616,Canadian
10.339304,8.365805,23.653579,-22.100968,0,11.711435,4.89824,Canadian
10.530696,8.738196,22.933912,-21.442789,0,16.724856,9.477782,Canadian
10.187403,8.218581,23.499946,-21.945084,0,10.647436,3.983717,Canadian
10.179263,8.362341,20.867748,-19.364328,0,13.875459,7.016538,Canadian
10.514241,8.660254,23.534067,-21.997045,0,21.769454,14.646222,Canadian
10.49744,8.661986,22.909316,-21.425468,0,13.966045,6.787907,Canadian
10.418805,8.435087,22.63496,-21.113699,0,13.202904,6.289076,Canadian
10.37689,8.66545,20.925079,-19.450931,0,14.682421,7.49112,Canadian
10.607599,8.757249,24.401651,-22.863071,0,21.620671,14.402002,Canadian
10.439243,8.736464,21.983362,-20.507482,0,13.492503,6.231919,Canadian
10.585255,8.769373,22.808338,-21.304225,0,17.028831,9.76357,Canadian
