@relation seeds-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N4-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute Class {Kama,Rosa,Canadian}

@data
10.262747,8.584044,20.346747,-18.896674,Canadian
10.302931,8.585776,20.939455,-19.450931,Canadian
9.983194,8.303452,19.840296,-18.342418,Canadian
10.193119,8.738196,20.384506,-18.931315,Canadian
10.301026,8.661986,21.003368,-19.520213,Canadian
10.412223,8.888885,22.082782,-20.559443,Canadian
10.402004,8.814407,20.170771,-18.74079,Canadian
10.565337,8.681039,22.471454,-20.975135,Canadian
10.471979,8.511298,23.704847,-22.17025,Canadian
10.570013,8.587508,23.67471,-22.15293,Canadian
10.747202,8.817871,24.690211,-23.157519,Canadian
10.839347,9.060358,23.327433,-21.858481,Canadian
10.339304,8.365805,23.653579,-22.100968,Canadian
10.530696,8.738196,22.933912,-21.442789,Canadian
10.187403,8.218581,23.499946,-21.945084,Canadian
10.179263,8.362341,20.867748,-19.364328,Canadian
10.514241,8.660254,23.534067,-21.997045,Canadian
10.49744,8.661986,22.909316,-21.425468,Canadian
10.418805,8.435087,22.63496,-21.113699,Canadian
10.37689,8.66545,20.925079,-19.450931,Canadian
10.607599,8.757249,24.401651,-22.863071,Canadian
10.439243,8.736464,21.983362,-20.507482,Canadian
10.585255,8.769373,22.808338,-21.304225,Canadian
