@relation seeds-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute Class {Kama,Rosa,Canadian}

@data
10.401138,8.888885,Canadian
10.26396,8.812675,Canadian
10.641547,8.942578,Canadian
10.413955,8.584044,Canadian
10.270888,8.660254,Canadian
10.346405,8.814407,Canadian
10.544552,8.980683,Canadian
10.115177,8.769373,Canadian
10.429544,8.819603,Canadian
10.354027,8.596168,Canadian
10.43959,8.663718,Canadian
10.742699,8.968559,Canadian
10.298774,8.357145,Canadian
10.576941,8.914866,Canadian
10.561873,8.933918,Canadian
10.332549,8.894081,Canadian
10.996964,9.207582,Canadian
10.708924,8.975487,Canadian
10.795526,9.269936,Canadian
10.262747,8.584044,Canadian
10.302931,8.585776,Canadian
9.983194,8.303452,Canadian
10.193119,8.738196,Canadian
10.301026,8.661986,Canadian
10.412223,8.888885,Canadian
10.402004,8.814407,Canadian
10.565337,8.681039,Canadian
10.471979,8.511298,Canadian
10.570013,8.587508,Canadian
10.747202,8.817871,Canadian
10.839347,9.060358,Canadian
10.339304,8.365805,Canadian
10.530696,8.738196,Canadian
10.187403,8.218581,Canadian
10.179263,8.362341,Canadian
10.514241,8.660254,Canadian
10.49744,8.661986,Canadian
10.418805,8.435087,Canadian
10.37689,8.66545,Canadian
10.607599,8.757249,Canadian
10.439243,8.736464,Canadian
10.585255,8.769373,Canadian
