@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A7-N1000-T1.0E-4

@attribute Area numeric
@attribute Perimeter numeric
@attribute Compactness numeric
@attribute Length numeric
@attribute Width numeric
@attribute 'Asymmetry Coefficient' numeric
@attribute 'Length of Kernel Groove' numeric
@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric

@data
16.2,15.27,0.8734,5.826,3.464,2.823,5.527,Kama,0.039708,0.095934,0.061509,-0.040257,0.003749,-0.039137,-0.042782
17.08,15.38,0.9079,5.832,3.683,2.956,5.484,Kama,0.033491,0.057667,-0.095967,-0.067091,-0.023697,-0.000769,0.010582
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,Kama,-0.067948,0.030254,-0.0404,-0.048377,-0.040265,0.023571,-0.036654
14.28,14.17,0.8944,5.397,3.298,6.685,5.001,Kama,-0.087871,0.095209,-0.08875,0.036966,0.12904,0.108716,0.011446
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,Kama,-0.077151,0.021455,-0.054604,0.025602,-0.086103,-0.048996,0.020651
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,Kama,-0.064607,0.027619,-0.043848,0.00615,-0.09053,-0.072115,0.014164
13.16,13.55,0.9009,5.138,3.201,2.461,4.783,Kama,-0.053461,0.050939,-0.060234,-0.013353,-0.040391,-0.02915,0.106946
15.5,14.86,0.882,5.877,3.396,4.711,5.528,Kama,-0.064117,0.023479,-0.122557,-0.111007,0.015647,0.033904,-0.132801
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,Kama,-0.006941,0.080938,-0.091583,-0.112285,0.001223,-0.041798,-0.018665
13.8,14.04,0.8794,5.376,3.155,1.56,4.961,Kama,-0.046292,0.030818,0.057476,-0.017394,-0.064593,0.016005,0.083441
15.36,14.76,0.8861,5.701,3.393,1.367,5.132,Kama,-0.014002,0.039911,0.013524,-0.140464,-0.05264,0.029755,0.017981
14.99,14.56,0.8883,5.57,3.377,2.958,5.175,Kama,-0.013193,0.073731,-0.018351,-0.061875,-0.002113,-0.008401,0.007411
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,Kama,-0.037975,0.066181,0.040933,-0.020114,-0.012974,0.042159,0.037833
14.86,14.67,0.8676,5.678,3.258,2.129,5.351,Kama,-0.017427,0.052749,0.064481,-0.047089,-0.044426,-0.025128,-0.03052
14.43,14.4,0.8751,5.585,3.272,3.975,5.144,Kama,-0.031282,0.06714,-0.006934,-0.086223,0.049357,0.019069,-0.036719
15.78,14.91,0.8923,5.674,3.434,5.593,5.136,Kama,-0.059708,0.07956,-0.029575,0.000466,0.103334,0.171058,0.02392
14.49,14.61,0.8538,5.715,3.113,4.116,5.396,Kama,-0.083919,0.038904,0.085518,0.025545,0.012389,0.077975,-0.064367
14.33,14.28,0.8831,5.504,3.199,3.328,5.224,Kama,-0.094556,0.031072,-0.012551,0.046649,-0.047661,0.049653,0.017294
14.52,14.6,0.8557,5.741,3.113,1.481,5.487,Kama,-0.067009,0.000381,0.09244,-0.011278,-0.114039,-0.002915,-0.052364
15.03,14.77,0.8658,5.702,3.212,1.933,5.439,Kama,-0.052461,0.038168,0.095669,0.032688,-0.084387,0.015351,-0.011445
14.46,14.35,0.8818,5.388,3.377,2.802,5.044,Kama,0.074599,0.137619,0.043126,-0.074381,0.055767,-0.122016,0.030229
14.92,14.43,0.9006,5.384,3.412,1.142,5.088,Kama,0.012731,0.102613,0.01412,-0.001165,-0.077161,-0.083149,0.091612
15.38,14.77,0.8857,5.662,3.419,1.999,5.222,Kama,0.011305,0.068234,0.007478,-0.104137,-0.027234,-0.02377,0.003244
12.11,13.47,0.8392,5.159,3.032,1.502,4.519,Kama,0.17868,0.069199,0.207502,-0.256673,0.138678,-0.151076,0.090614
11.42,12.86,0.8683,5.008,2.85,2.7,4.607,Kama,-0.04026,-0.079208,0.012785,-0.03195,-0.009057,0.02681,0.156152
11.23,12.63,0.884,4.902,2.879,2.269,4.703,Kama,-0.05469,-0.093809,-0.076152,0.012047,-0.080336,-0.047281,0.16286
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,Kama,-0.087545,-0.01577,-0.058579,-0.022262,-0.008364,0.067873,0.138185
13.22,13.84,0.868,5.395,3.07,4.157,5.088,Kama,-0.065171,0.023563,-0.002133,-0.01169,0.0245,0.014774,-0.007178
12.78,13.57,0.8716,5.262,3.026,1.176,4.782,Kama,-0.03393,-0.017581,0.057277,-0.078994,-0.060625,0.005141,0.10341
12.88,13.5,0.8879,5.139,3.119,2.352,4.607,Kama,-0.037364,0.030904,0.013466,-0.054014,0.000553,0.03235,0.139659
14.34,14.37,0.8726,5.63,3.19,1.313,5.15,Kama,-0.058507,0.001658,0.035377,-0.102274,-0.08496,0.030005,0.000966
14.01,14.29,0.8625,5.609,3.158,2.217,5.132,Kama,-0.029762,0.024756,0.054118,-0.124467,-0.01798,0.003234,-0.030188
14.37,14.39,0.8726,5.569,3.153,1.464,5.3,Kama,-0.077474,0.017395,0.0608,0.027909,-0.118016,0.009559,0.016607
12.73,13.75,0.8458,5.412,2.882,3.533,5.067,Kama,-0.070947,-0.03205,0.103208,0.011592,0.007502,0.068079,0.02246
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,Rosa,0.033522,0.04165,0.009547,-0.005975,-0.004078,-0.005817,-0.131828
16.84,15.67,0.8623,5.998,3.484,4.675,5.877,Rosa,0.037763,0.108733,0.063848,0.03371,0.052198,-0.03359,-0.118687
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,Rosa,0.063286,0.094125,0.017388,0.006328,0.056288,-0.019137,-0.070118
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,Rosa,0.152654,-0.002042,-0.141813,-0.057512,-0.046889,-0.086001,-0.015256
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,Rosa,-0.026536,0.031015,-0.038015,0.008218,-0.030383,0.026401,-0.09726
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,Rosa,0.011273,0.105911,0.095055,0.107028,0.053586,0.028131,-0.065753
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,Rosa,-0.024784,0.05475,0.14213,0.153761,-0.025009,0.100119,-0.039312
20.71,17.23,0.8763,6.579,3.814,4.451,6.451,Rosa,0.09997,-0.108107,0.01759,0.106735,-0.021131,0.195016,0.014917
18.94,16.49,0.875,6.445,3.639,5.064,6.362,Rosa,-0.010537,-0.059459,-0.066571,0.057743,-0.036571,0.128038,-0.121873
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,Rosa,0.032162,0.066386,0.015933,0.081357,-0.054656,-0.02374,0.010145
16.53,15.34,0.8823,5.875,3.467,5.532,5.88,Rosa,-0.03605,0.067046,-0.058458,0.116182,0.010962,0.005167,-0.091462
18.72,16.19,0.8977,6.006,3.857,5.324,5.879,Rosa,0.145511,0.08901,-0.044833,0.044489,0.097593,-0.015143,0.00948
20.2,16.89,0.8894,6.285,3.864,5.173,6.187,Rosa,0.13624,-0.024202,0.013849,0.150135,0.046516,0.138449,0.075458
19.57,16.74,0.8779,6.384,3.772,1.472,6.273,Rosa,0.125014,-0.037525,0.047405,0.009035,-0.111799,0.001923,-0.01219
19.51,16.71,0.878,6.366,3.801,2.962,6.185,Rosa,0.136162,-0.013118,0.025494,-0.015319,-0.024485,0.025559,-0.027481
18.27,16.09,0.887,6.173,3.651,2.443,6.197,Rosa,0.032566,-0.010338,-0.042125,0.061108,-0.128663,-0.030131,-0.058731
18.88,16.26,0.8969,6.084,3.764,1.649,6.109,Rosa,0.103862,-0.002221,-0.002896,0.099936,-0.129472,-0.042963,0.05039
18.98,16.66,0.859,6.549,3.67,3.691,6.498,Rosa,0.07117,-0.021155,-0.00873,-0.049971,-0.043921,-0.017672,-0.198841
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,Rosa,0.16412,-0.134396,-0.132573,-0.04303,0.079272,0.219913,0.042569
20.88,17.05,0.9031,6.45,4.032,5.016,6.321,Rosa,0.176886,-0.096552,-0.133653,0.012404,0.027815,0.104558,0.03818
20.1,16.99,0.8746,6.581,3.785,1.955,6.449,Rosa,0.107148,-0.104868,0.005264,-0.016546,-0.120114,0.064173,-0.044914
18.76,16.2,0.8984,6.172,3.796,3.12,6.053,Rosa,0.084875,-0.00869,-0.090003,-0.008198,-0.058731,-0.007349,-0.023028
18.81,16.29,0.8906,6.272,3.693,3.237,6.053,Rosa,0.018171,-0.055756,-0.053583,0.024268,-0.078585,0.117721,-0.014083
18.59,16.05,0.9066,6.037,3.86,6.001,5.877,Rosa,0.097605,0.049791,-0.143361,0.011296,0.090593,0.025272,-0.018648
18.36,16.52,0.8452,6.666,3.485,4.933,6.448,Rosa,-0.04963,-0.051901,-0.00758,-0.066157,-0.022664,0.127065,-0.272709
16.87,15.65,0.8648,6.139,3.463,3.696,5.967,Rosa,-0.003397,0.026651,-0.007135,-0.044351,-0.028933,-0.010166,-0.154418
19.31,16.59,0.8815,6.341,3.81,3.477,6.238,Rosa,0.129674,-0.006293,-0.026666,-0.019241,-0.01943,-0.01254,-0.061739
18.98,16.57,0.8687,6.449,3.552,2.144,6.453,Rosa,-0.022767,-0.083998,0.038147,0.12171,-0.181981,0.098886,-0.071181
18.17,16.26,0.8637,6.271,3.512,2.853,6.273,Rosa,0.001204,0.001719,0.074255,0.113874,-0.105876,0.031998,-0.089711
18.72,16.34,0.881,6.219,3.684,2.188,6.097,Rosa,0.074331,-0.005075,0.035144,0.04241,-0.089971,0.017644,-0.011442
16.41,15.25,0.8866,5.718,3.525,4.217,5.618,Rosa,0.034441,0.11815,0.006751,0.077803,0.02499,-0.051255,-0.017051
17.99,15.86,0.8992,5.89,3.694,2.068,5.837,Rosa,0.073944,0.057219,0.013567,0.106066,-0.089883,-0.040721,0.060541
19.46,16.5,0.8985,6.113,3.892,4.308,6.009,Rosa,0.15768,0.034337,-0.021546,0.075598,0.037054,0.019305,0.056841
19.18,16.63,0.8717,6.369,3.681,3.357,6.229,Rosa,0.064997,-0.018446,0.050482,0.058255,-0.045723,0.081668,-0.043811
18.95,16.42,0.8829,6.248,3.755,3.368,6.148,Rosa,0.103249,0.005326,-0.008409,0.020907,-0.030694,0.002035,-0.037693
18.83,16.29,0.8917,6.037,3.786,2.553,5.879,Rosa,0.139726,0.050715,0.054405,0.062966,-0.022525,-0.006538,0.070295
18.85,16.17,0.9056,6.152,3.806,2.843,6.2,Rosa,0.071587,-0.031441,-0.133193,0.047925,-0.116437,-0.040329,-0.01762
17.63,15.86,0.88,6.033,3.573,3.747,5.929,Rosa,0.026559,0.042067,0.016561,0.077693,-0.028006,0.021647,-0.036663
19.94,16.92,0.8752,6.675,3.763,3.252,6.55,Rosa,0.053104,-0.129153,-0.084252,-0.048952,-0.104017,0.093848,-0.125757
18.55,16.22,0.8865,6.153,3.674,1.738,5.894,Rosa,0.058653,-0.006327,0.045541,0.024855,-0.093808,0.063879,0.034297
18.45,16.12,0.8921,6.107,3.769,2.235,5.794,Rosa,0.114134,0.023743,-0.006775,-0.068359,-0.031359,-0.000908,0.012454
19.38,16.72,0.8716,6.303,3.791,3.678,5.965,Rosa,0.156479,0.042152,0.100798,-0.022105,0.064782,0.067748,-0.001596
19.13,16.31,0.9035,6.183,3.902,2.109,5.924,Rosa,0.152154,-0.013988,-0.08468,-0.100522,-0.050299,-0.029399,0.018485
19.14,16.61,0.8722,6.259,3.737,6.682,6.053,Rosa,0.092671,0.06143,0.047171,0.092308,0.143945,0.130934,-0.040444
20.97,17.25,0.8859,6.563,3.991,4.677,6.316,Rosa,0.196124,-0.084175,-0.045944,-0.036233,0.054549,0.121493,0.010921
19.06,16.45,0.8854,6.416,3.719,2.248,6.163,Rosa,0.037952,-0.082335,-0.060026,-0.060936,-0.114557,0.083011,-0.058278
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,Rosa,0.133654,0.031248,-0.082602,-0.024499,0.056302,0.047444,0.054018
19.15,16.45,0.889,6.245,3.815,3.084,6.185,Rosa,0.127011,-0.002189,-0.039603,0.007256,-0.044879,-0.032392,-0.029784
18.89,16.23,0.9008,6.227,3.769,3.639,5.966,Rosa,0.038043,-0.053613,-0.106796,-0.009556,-0.050095,0.112368,0.00203
20.03,16.9,0.8811,6.493,3.857,3.063,6.32,Rosa,0.141056,-0.06539,-0.02691,-0.042022,-0.041,0.046628,-0.038706
20.24,16.91,0.8897,6.315,3.962,5.901,6.188,Rosa,0.1932,0.011376,-0.034323,0.047689,0.116469,0.062664,0.0147
18.14,16.12,0.8772,6.059,3.563,3.619,6.011,Rosa,0.019724,0.039028,0.084789,0.181793,-0.046757,0.072665,0.013865
16.17,15.38,0.8588,5.762,3.387,4.286,5.703,Rosa,0.048533,0.150268,0.154555,0.129378,0.055997,-0.055119,-0.042626
18.43,15.97,0.9077,5.98,3.771,2.984,5.905,Rosa,0.068999,0.014533,-0.07475,0.075716,-0.071727,-0.000335,0.048134
15.99,14.89,0.9064,5.363,3.582,3.336,5.144,Rosa,0.073958,0.184357,0.047572,0.110421,0.046192,-0.063454,0.134021
18.75,16.18,0.8999,6.111,3.869,4.188,5.992,Rosa,0.136806,0.039537,-0.104005,-0.034691,0.024979,-0.053378,-0.033914
18.65,16.41,0.8698,6.285,3.594,4.391,6.102,Rosa,0.017724,-0.003558,0.058345,0.097593,-0.007605,0.139947,-0.040507
17.98,15.85,0.8993,5.979,3.687,2.257,5.919,Rosa,0.05021,0.021894,-0.041775,0.063137,-0.105264,-0.03072,0.015823
20.16,17.03,0.8735,6.513,3.773,1.91,6.185,Rosa,0.113387,-0.084554,0.087693,-0.001419,-0.075331,0.152078,0.035477
17.55,15.66,0.8991,5.791,3.69,5.366,5.661,Rosa,0.063005,0.11197,-0.026581,0.113913,0.076146,0.017452,0.032449
18.3,15.89,0.9108,5.979,3.755,2.837,5.962,Rosa,0.04372,0.004107,-0.107355,0.084349,-0.105351,-0.013831,0.029875
18.94,16.32,0.8942,6.144,3.825,2.908,5.949,Rosa,0.130116,0.024284,-0.020113,-0.013036,-0.019779,-0.007876,0.013797
15.38,14.9,0.8706,5.884,3.268,4.462,5.795,Rosa,-0.103708,0.011566,-0.063632,0.035473,-0.053365,0.018817,-0.141977
16.16,15.33,0.8644,5.845,3.395,4.266,5.795,Rosa,0.011268,0.109101,0.06924,0.083585,0.016701,-0.051863,-0.090117
15.56,14.89,0.8823,5.776,3.408,4.972,5.847,Rosa,-0.037962,0.073617,-0.112986,0.045432,-0.017597,-0.103261,-0.14829
15.38,14.66,0.899,5.477,3.465,3.6,5.439,Rosa,0.009072,0.121925,-0.050607,0.082781,-0.01995,-0.110996,0.009918
17.36,15.76,0.8785,6.145,3.574,3.526,5.971,Rosa,0.011261,0.019572,-0.058072,-0.053275,-0.0424,-0.013552,-0.128181
15.57,15.15,0.8527,5.92,3.231,2.64,5.879,Rosa,-0.046239,0.04407,0.087178,0.056101,-0.090488,-0.049207,-0.126906
15.6,15.11,0.858,5.832,3.286,2.725,5.752,Rosa,-0.007745,0.06819,0.09316,0.047733,-0.055316,-0.06476,-0.08675
16.23,15.18,0.885,5.872,3.472,3.769,5.922,Rosa,-0.021414,0.051734,-0.091868,0.03925,-0.069743,-0.096083,-0.121109
13.07,13.92,0.848,5.472,2.994,5.304,5.395,Canadian,-0.044704,0.029552,0.023139,0.035469,0.056779,-0.051353,-0.090013
13.32,13.94,0.8613,5.541,3.073,7.035,5.44,Canadian,-0.090109,0.019267,-0.103202,0.010842,0.094484,-0.002674,-0.140677
13.34,13.95,0.862,5.389,3.074,5.995,5.307,Canadian,-0.054042,0.066741,-0.000664,0.086647,0.08332,-0.024894,-0.051337
12.22,13.32,0.8652,5.224,2.967,5.469,5.221,Canadian,-0.050487,-0.010823,-0.081729,0.045608,0.038755,-0.081204,-0.030721
11.82,13.4,0.8274,5.314,2.777,4.471,5.178,Canadian,0.002297,-0.045997,0.103923,0.001543,0.064966,-0.053809,-0.019065
11.21,13.13,0.8167,5.279,2.687,6.169,5.275,Canadian,0.022109,-0.091498,0.05739,0.007354,0.1246,-0.07561,-0.052385
11.43,13.13,0.8335,5.176,2.719,2.221,5.132,Canadian,0.007278,-0.091907,0.118417,0.035896,-0.051548,-0.102563,0.060219
12.49,13.46,0.8658,5.267,2.967,4.421,5.002,Canadian,-0.067895,-0.020153,-0.018301,0.007291,0.026624,0.019629,0.027223
12.7,13.71,0.8491,5.386,2.911,3.26,5.316,Canadian,-0.053848,-0.018695,0.058429,0.052882,-0.042243,-0.057236,-0.02094
10.79,12.93,0.8107,5.317,2.648,5.462,5.194,Canadian,0.052973,-0.157206,0.027085,-0.123685,0.119176,-0.091006,-0.06392
11.83,13.23,0.8496,5.263,2.84,5.195,5.307,Canadian,-0.053755,-0.059551,-0.044578,0.050421,0.017591,-0.078234,-0.044078
12.01,13.52,0.8249,5.405,2.776,6.992,5.27,Canadian,-0.040095,-0.041202,0.058075,0.033362,0.148736,0.02592,-0.074996
12.26,13.6,0.8333,5.408,2.833,4.756,5.36,Canadian,-0.033562,-0.029258,0.062097,0.029713,0.037242,-0.06131,-0.069821
11.18,13.04,0.8266,5.22,2.693,3.332,5.001,Canadian,0.017354,-0.118695,0.098104,-0.053347,0.028697,-0.046278,0.041025
11.36,13.05,0.8382,5.175,2.755,4.048,5.263,Canadian,0.00072,-0.086099,0.023618,0.047751,-0.003106,-0.131587,0.001848
11.19,13.05,0.8253,5.25,2.675,5.813,5.219,Canadian,-0.017891,-0.116704,0.032376,0.030508,0.083332,-0.030218,-0.019754
11.34,12.87,0.8596,5.053,2.849,3.347,5.003,Canadian,0.000483,-0.079016,-0.033929,-0.001004,-0.018328,-0.122002,0.063446
12.13,13.73,0.8081,5.394,2.745,4.825,5.22,Canadian,0.029683,0.00321,0.234594,0.035845,0.122728,-0.031546,-0.029252
11.75,13.52,0.8082,5.444,2.678,4.378,5.31,Canadian,-0.004706,-0.072391,0.161359,-0.007819,0.060306,-0.036738,-0.063164
11.49,13.22,0.8263,5.304,2.695,5.388,5.31,Canadian,-0.038044,-0.095989,0.049085,0.058268,0.049544,-0.03533,-0.036704
12.54,13.67,0.8425,5.451,2.879,3.082,5.491,Canadian,-0.045192,-0.049473,0.029003,0.02523,-0.069693,-0.114622,-0.074099
12.02,13.33,0.8503,5.35,2.81,4.271,5.308,Canadian,-0.101003,-0.093482,-0.032685,0.045217,-0.042835,-0.014755,-0.035568
12.05,13.41,0.8416,5.267,2.847,4.988,5.046,Canadian,-0.021348,-0.027536,0.067909,0.014976,0.084807,-0,0.014136
12.55,13.57,0.8558,5.333,2.968,4.419,5.176,Canadian,-0.033579,-0.008026,-0.001827,-0.005648,0.031877,-0.052374,-0.025162
11.14,12.79,0.8558,5.011,2.794,6.388,5.049,Canadian,-0.033018,-0.070111,-0.063255,0.096276,0.08624,-0.050479,0.044904
12.1,13.15,0.8793,5.105,2.941,2.201,5.056,Canadian,-0.077929,-0.047535,-0.049094,0.068169,-0.11849,-0.0792,0.079487
12.44,13.59,0.8462,5.319,2.897,4.924,5.27,Canadian,-0.038175,-0.003019,0.045257,0.071045,0.042113,-0.048537,-0.025341
12.15,13.45,0.8443,5.417,2.837,3.638,5.338,Canadian,-0.06696,-0.081217,-0.007357,-0.015471,-0.042431,-0.057704,-0.063195
11.35,13.12,0.8291,5.176,2.668,4.337,5.132,Canadian,-0.026878,-0.092315,0.11209,0.097889,0.024963,-0.017311,0.052417
11.24,13,0.8359,5.09,2.715,3.521,5.088,Canadian,0.01169,-0.083845,0.094725,0.073893,0.003004,-0.09026,0.074585
11.02,13,0.8189,5.325,2.701,6.735,5.163,Canadian,0.020703,-0.128903,-0.012329,-0.10298,0.162938,-0.041198,-0.077076
11.55,13.1,0.8455,5.167,2.845,6.715,4.956,Canadian,-0.007275,-0.038535,-0.012022,-0.010612,0.163259,-0.004263,0.00594
11.27,12.97,0.8419,5.088,2.763,4.309,5,Canadian,0.008461,-0.074588,0.050674,0.034223,0.047007,-0.066349,0.06491
11.4,13.08,0.8375,5.136,2.763,5.588,5.089,Canadian,-0.00231,-0.054809,0.048029,0.063832,0.094083,-0.048539,0.027418
10.83,12.96,0.8099,5.278,2.641,5.182,5.185,Canadian,0.059486,-0.14148,0.06465,-0.084308,0.111595,-0.096584,-0.039004
10.8,12.57,0.859,4.981,2.821,4.773,5.063,Canadian,0.019129,-0.102855,-0.114525,-0.008792,0.027585,-0.171211,0.030966
11.26,13.01,0.8355,5.186,2.71,5.335,5.092,Canadian,-0.028514,-0.107966,0.027623,0.038073,0.065807,-0.00826,0.024988
10.74,12.73,0.8329,5.145,2.642,4.702,4.963,Canadian,-0.015614,-0.174047,0.010379,-0.029722,0.050761,0.003341,0.055225
11.48,13.05,0.8473,5.18,2.758,5.876,5.002,Canadian,-0.07348,-0.090141,-0.006583,0.053657,0.075627,0.056246,0.035686
12.21,13.47,0.8453,5.357,2.893,1.661,5.178,Canadian,0.001721,-0.057173,0.055489,-0.082676,-0.067027,-0.122491,-0.011591
11.41,12.95,0.856,5.09,2.775,4.957,4.825,Canadian,-0.075093,-0.08534,0.00544,0.048747,0.049984,0.070786,0.094557
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,Canadian,-0.051421,0.00435,-0.075424,0.023375,0.031004,-0.067004,-0.015922
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,Canadian,-0.054533,-0.026791,-0.018696,0.051219,0.026404,-0.037833,0.000337
11.65,13.07,0.8575,5.108,2.85,5.209,5.135,Canadian,-0.043051,-0.040541,-0.032483,0.090029,0.032778,-0.069803,0.024008
12.89,13.77,0.8541,5.495,3.026,6.185,5.316,Canadian,-0.052604,0.004313,-0.068555,-0.053217,0.09616,-0.031129,-0.122382
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,Canadian,-0.019851,-0.10777,0.110833,-0.018335,0.034644,-0.010569,-0.016041
