@relation seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A7-N1000-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric

@data
0.034441,0.11815,0.006751,0.077803,0.02499,-0.051255,-0.017051
0.073944,0.057219,0.013567,0.106066,-0.089883,-0.040721,0.060541
0.15768,0.034337,-0.021546,0.075598,0.037054,0.019305,0.056841
0.064997,-0.018446,0.050482,0.058255,-0.045723,0.081668,-0.043811
0.103249,0.005326,-0.008409,0.020907,-0.030694,0.002035,-0.037693
0.139726,0.050715,0.054405,0.062966,-0.022525,-0.006538,0.070295
0.071587,-0.031441,-0.133193,0.047925,-0.116437,-0.040329,-0.01762
0.026559,0.042067,0.016561,0.077693,-0.028006,0.021647,-0.036663
0.053104,-0.129153,-0.084252,-0.048952,-0.104017,0.093848,-0.125757
0.058653,-0.006327,0.045541,0.024855,-0.093808,0.063879,0.034297
0.114134,0.023743,-0.006775,-0.068359,-0.031359,-0.000908,0.012454
0.156479,0.042152,0.100798,-0.022105,0.064782,0.067748,-0.001596
0.152154,-0.013988,-0.08468,-0.100522,-0.050299,-0.029399,0.018485
0.092671,0.06143,0.047171,0.092308,0.143945,0.130934,-0.040444
0.196124,-0.084175,-0.045944,-0.036233,0.054549,0.121493,0.010921
0.037952,-0.082335,-0.060026,-0.060936,-0.114557,0.083011,-0.058278
0.133654,0.031248,-0.082602,-0.024499,0.056302,0.047444,0.054018
0.127011,-0.002189,-0.039603,0.007256,-0.044879,-0.032392,-0.029784
0.038043,-0.053613,-0.106796,-0.009556,-0.050095,0.112368,0.00203
0.141056,-0.06539,-0.02691,-0.042022,-0.041,0.046628,-0.038706
0.1932,0.011376,-0.034323,0.047689,0.116469,0.062664,0.0147
0.019724,0.039028,0.084789,0.181793,-0.046757,0.072665,0.013865
0.048533,0.150268,0.154555,0.129378,0.055997,-0.055119,-0.042626
0.068999,0.014533,-0.07475,0.075716,-0.071727,-0.000335,0.048134
0.073958,0.184357,0.047572,0.110421,0.046192,-0.063454,0.134021
0.136806,0.039537,-0.104005,-0.034691,0.024979,-0.053378,-0.033914
0.017724,-0.003558,0.058345,0.097593,-0.007605,0.139947,-0.040507
0.05021,0.021894,-0.041775,0.063137,-0.105264,-0.03072,0.015823
0.113387,-0.084554,0.087693,-0.001419,-0.075331,0.152078,0.035477
0.063005,0.11197,-0.026581,0.113913,0.076146,0.017452,0.032449
0.04372,0.004107,-0.107355,0.084349,-0.105351,-0.013831,0.029875
0.130116,0.024284,-0.020113,-0.013036,-0.019779,-0.007876,0.013797
-0.103708,0.011566,-0.063632,0.035473,-0.053365,0.018817,-0.141977
0.011268,0.109101,0.06924,0.083585,0.016701,-0.051863,-0.090117
-0.037962,0.073617,-0.112986,0.045432,-0.017597,-0.103261,-0.14829
0.009072,0.121925,-0.050607,0.082781,-0.01995,-0.110996,0.009918
0.011261,0.019572,-0.058072,-0.053275,-0.0424,-0.013552,-0.128181
-0.046239,0.04407,0.087178,0.056101,-0.090488,-0.049207,-0.126906
-0.007745,0.06819,0.09316,0.047733,-0.055316,-0.06476,-0.08675
-0.021414,0.051734,-0.091868,0.03925,-0.069743,-0.096083,-0.121109
-0.044704,0.029552,0.023139,0.035469,0.056779,-0.051353,-0.090013
-0.090109,0.019267,-0.103202,0.010842,0.094484,-0.002674,-0.140677
-0.054042,0.066741,-0.000664,0.086647,0.08332,-0.024894,-0.051337
-0.050487,-0.010823,-0.081729,0.045608,0.038755,-0.081204,-0.030721
0.002297,-0.045997,0.103923,0.001543,0.064966,-0.053809,-0.019065
0.022109,-0.091498,0.05739,0.007354,0.1246,-0.07561,-0.052385
0.007278,-0.091907,0.118417,0.035896,-0.051548,-0.102563,0.060219
-0.067895,-0.020153,-0.018301,0.007291,0.026624,0.019629,0.027223
-0.053848,-0.018695,0.058429,0.052882,-0.042243,-0.057236,-0.02094
0.052973,-0.157206,0.027085,-0.123685,0.119176,-0.091006,-0.06392
-0.053755,-0.059551,-0.044578,0.050421,0.017591,-0.078234,-0.044078
-0.040095,-0.041202,0.058075,0.033362,0.148736,0.02592,-0.074996
-0.033562,-0.029258,0.062097,0.029713,0.037242,-0.06131,-0.069821
0.017354,-0.118695,0.098104,-0.053347,0.028697,-0.046278,0.041025
0.00072,-0.086099,0.023618,0.047751,-0.003106,-0.131587,0.001848
-0.017891,-0.116704,0.032376,0.030508,0.083332,-0.030218,-0.019754
0.000483,-0.079016,-0.033929,-0.001004,-0.018328,-0.122002,0.063446
0.029683,0.00321,0.234594,0.035845,0.122728,-0.031546,-0.029252
-0.004706,-0.072391,0.161359,-0.007819,0.060306,-0.036738,-0.063164
-0.038044,-0.095989,0.049085,0.058268,0.049544,-0.03533,-0.036704
-0.045192,-0.049473,0.029003,0.02523,-0.069693,-0.114622,-0.074099
-0.101003,-0.093482,-0.032685,0.045217,-0.042835,-0.014755,-0.035568
-0.021348,-0.027536,0.067909,0.014976,0.084807,-0,0.014136
-0.033579,-0.008026,-0.001827,-0.005648,0.031877,-0.052374,-0.025162
-0.033018,-0.070111,-0.063255,0.096276,0.08624,-0.050479,0.044904
-0.077929,-0.047535,-0.049094,0.068169,-0.11849,-0.0792,0.079487
-0.038175,-0.003019,0.045257,0.071045,0.042113,-0.048537,-0.025341
-0.06696,-0.081217,-0.007357,-0.015471,-0.042431,-0.057704,-0.063195
-0.026878,-0.092315,0.11209,0.097889,0.024963,-0.017311,0.052417
0.01169,-0.083845,0.094725,0.073893,0.003004,-0.09026,0.074585
0.020703,-0.128903,-0.012329,-0.10298,0.162938,-0.041198,-0.077076
-0.007275,-0.038535,-0.012022,-0.010612,0.163259,-0.004263,0.00594
0.008461,-0.074588,0.050674,0.034223,0.047007,-0.066349,0.06491
-0.00231,-0.054809,0.048029,0.063832,0.094083,-0.048539,0.027418
0.059486,-0.14148,0.06465,-0.084308,0.111595,-0.096584,-0.039004
0.019129,-0.102855,-0.114525,-0.008792,0.027585,-0.171211,0.030966
-0.028514,-0.107966,0.027623,0.038073,0.065807,-0.00826,0.024988
-0.015614,-0.174047,0.010379,-0.029722,0.050761,0.003341,0.055225
-0.07348,-0.090141,-0.006583,0.053657,0.075627,0.056246,0.035686
0.001721,-0.057173,0.055489,-0.082676,-0.067027,-0.122491,-0.011591
-0.075093,-0.08534,0.00544,0.048747,0.049984,0.070786,0.094557
-0.051421,0.00435,-0.075424,0.023375,0.031004,-0.067004,-0.015922
-0.054533,-0.026791,-0.018696,0.051219,0.026404,-0.037833,0.000337
-0.043051,-0.040541,-0.032483,0.090029,0.032778,-0.069803,0.024008
-0.052604,0.004313,-0.068555,-0.053217,0.09616,-0.031129,-0.122382
-0.019851,-0.10777,0.110833,-0.018335,0.034644,-0.010569,-0.016041
-0.028548,-0.081508,0.089494,0.020462,0.047665,-0.035304,-0.063656
-0.009062,-0.134209,0.044738,0.01943,0.03143,-0.022771,0.08159
-0.068861,-0.075473,-0.115008,0.035307,0.13796,0.029451,0.012393
-0.010134,-0.123196,-0.107658,-0.008858,0.049836,-0.065559,0.10169
0.008713,-0.094215,0.017013,0.056859,0.078586,-0.071532,0.052354
-0.029576,-0.099467,-0.039703,0.006326,-0.002927,-0.065343,0.054075
-0.074638,-0.062171,-0.136936,0.021369,-0.071141,-0.105098,0.016046
-0.001086,-0.161961,0.036039,-0.005364,0.055181,-0.029373,0.030047
-0.022239,-0.029081,-0.055591,-0.068566,0.0312,-0.069921,-0.002765
-0.045302,0.04656,-0.076331,0.012166,0.057235,-0.027311,0.044618
-0.086716,0.027877,-0.05503,0.047444,0.064726,0.04277,0.03209
-0.09691,0.030912,-0.06917,0.049908,0.008424,0.026764,0.016462
-0.048655,-0.035207,0.047052,-0.005725,-0.022756,-0.034117,-0.023083
-0.039489,0.053037,-0.064425,0.007679,-0.029488,-0.07725,0.093825
-0.021699,0.01973,-0.013516,0.016654,0.093687,-0.04062,0.003248
-0.031884,0.059908,-0.022761,0.049593,-0.043364,-0.072913,0.148165
-0.06224,-0.110192,-0.067025,0.021012,-0.007848,-0.002172,0.106536
-0.116957,0.043757,-0.164671,0.089698,0.159719,0.074632,-0.01029
-0.00512,0.015847,0.054573,0.015583,0.04465,-0.056007,0.041115
-0.067345,-0.033405,-0.057479,-0.000656,-0.012285,-0.003294,0.075754
-0.023158,-0.105071,-0.041307,-0.032246,0.023303,-0.058188,0.028763
-0.043893,0.101424,-0.161517,0.023637,0.19801,-0.01694,-0.046589
-0.03374,-0.057476,0.037178,0.039594,-0.006262,-0.039221,0.055121
-0.07327,-0.017886,-0.08073,0.01388,0.060355,-0.001076,-0.008506
