@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A6-N500-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R1-7

@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric

@data
Kama,0.0141,-0.039644,-0.148729,-0.027135,-0.078485,-0.030872
Kama,-0.009088,-0.001061,-0.049088,0.031047,-0.037982,-0.005245
Kama,-0.078664,-0.172596,-0.141906,-0.039198,0.048821,0.231171
Kama,0.088442,-0.142187,-0.013673,0.053852,0.044041,-0.026259
Kama,0.072417,-0.164637,-0.006471,-0.0009,-0.031051,-0.126206
Kama,0.079767,-0.089789,-0.005367,0.125233,-0.020031,-0.049165
Kama,-0.030229,0.013446,-0.008788,0.064765,0.012167,-0.012822
Kama,0.071404,-0.08126,-0.06894,0.040907,0.044746,-0.044119
Kama,0.064798,-0.088738,-0.070399,0.093744,-0.008647,0.006333
Kama,0.043031,0.01086,-0.030368,0.05795,0.04222,-0.080615
Kama,-0.015541,0.014153,-0.026976,0.053653,0.042833,-0.016886
Kama,0.04957,0.038476,-0.090643,0.003548,0.049449,-0.100944
Kama,0.03849,0.008562,-0.032693,0.053748,0.124898,0.003888
Rosa,-0.05411,0.112891,0.022126,-0.038461,-0.006661,0.015727
Rosa,-0.099186,0.122098,-0.051132,-0.039422,-0.002186,0.084348
Rosa,-0.063538,0.073698,-0.024347,-0.02337,-0.042381,0.091669
Rosa,0.000222,-0.04198,0.073429,-0.109457,-0.169076,-0.009177
Rosa,-0.02435,0.101151,0.032834,0.012135,-0.021833,-0.041211
Rosa,-0.040616,0.126523,-0.079756,-0.015473,0.03192,0.100328
Rosa,0.057254,0.14758,-0.091838,-0.016783,0.104324,0.047063
Rosa,0.196462,0.051592,0.106868,-0.04292,0.060864,0.073228
Rosa,0.05273,0.132043,0.138931,0.005674,0.015024,-0.04128
Rosa,0.020085,0.043525,-0.078879,-0.060895,-0.043082,-0.001011
Rosa,-0.062841,0.117963,0.009952,-0.005897,-0.054632,-0.014124
Rosa,-0.022281,0.007114,0.000405,-0.049099,-0.120652,0.158459
Rosa,0.152252,0.013797,0.034124,-0.052053,-0.007817,0.153497
Rosa,0.099939,0.02416,-0.007025,-0.134349,0.008233,-0.002995
Rosa,0.063276,0.027685,0.028036,-0.085997,-0.010515,0.066942
Rosa,0.03048,0.066087,0.008144,-0.105592,-0.045747,-0.09415
Rosa,0.094621,-0.004289,-0.057148,-0.15279,-0.060339,-0.033639
Rosa,-0.05234,0.127774,0.093828,-0.091175,0.004796,-0.0206
Rosa,0.18674,-0.042694,0.249614,0.039839,-0.049682,0.13346
Rosa,0.134876,-0.045144,0.177792,-0.051491,-0.095672,0.088987
Rosa,0.131814,0.036975,0.086049,-0.104527,0.02957,-0.035581
Rosa,0.037956,0.012282,0.057803,-0.063377,-0.094004,-0.023473
Rosa,0.122368,0.052019,0.082592,0.003097,-0.006413,-0.045008
Rosa,-0.020145,0.012641,0.094068,0.009583,-0.151254,0.095785
Rosa,-0.034398,0.220222,0.172018,0.042995,0.093131,-0.054752
Rosa,-0.065871,0.116971,0.04025,-0.017196,0.000631,-0.035357
Rosa,0.014876,0.033885,0.054084,-0.094202,-0.052047,0.042325
Rosa,0.135423,0.130167,0.02622,-0.083937,0.085775,-0.126238
Rosa,0.042247,0.137494,-0.035303,-0.090198,0.061921,-0.047199
Rosa,0.079173,0.045967,-0.022305,-0.090177,0.001689,-0.007105
Rosa,-0.05706,0.054914,-0.083321,-0.039125,-0.070126,0.056569
Rosa,0.063699,0.008569,-0.10156,-0.107266,-0.066557,-0.003165
Rosa,0.065116,-0.014308,-0.002504,-0.079893,-0.086312,0.130246
Rosa,0.085156,0.085215,0.016992,-0.058021,0.041138,0.032437
Rosa,0.032577,0.040791,0.0211,-0.08439,-0.038741,0.034416
Rosa,0.079458,-0.00999,-0.08158,-0.10009,-0.042028,0.097467
Rosa,0.045846,0.007842,0.060723,-0.10893,-0.122932,-0.092733
Rosa,0.017793,0.079352,-0.026558,-0.041842,-0.012429,0.015383
Rosa,0.08874,0.079488,0.187583,-0.048222,0.008282,-0.086519
Rosa,0.126705,0.027861,-0.032641,-0.045351,0.015195,-0.002579
Rosa,0.051329,-0.010676,-0.000452,-0.044028,-0.056905,0.043912
Rosa,0.059866,0.033788,-0.017943,-0.038866,0.023163,0.185617
Rosa,0.057237,-0.053471,0.057959,-0.071973,-0.115363,0.014709
Rosa,0.022041,0.100867,0.029465,0.018748,0.012673,0.211404
Rosa,0.128352,-0.022473,0.154082,-0.044276,-0.031305,0.14462
Rosa,0.105756,0.046858,0.112726,-0.02022,-0.004692,-0.082604
Rosa,0.059627,-0.035662,0.052778,0.000797,-0.116366,0.113993
Rosa,0.027118,0.014799,0.030645,-0.110619,-0.07347,0.01983
Rosa,0.113886,0.019265,0.115175,0.022236,-0.054491,-0.029402
Rosa,0.086068,0.014839,0.098283,-0.082263,-0.021752,0.034474
Rosa,0.048574,-0.001465,0.075559,-0.058072,-0.075198,0.202252
Rosa,0.087438,0.096214,-0.082161,-0.059538,0.040533,0.037353
Rosa,-0.077271,0.104727,-0.168083,-0.079253,0.027493,0.133491
Rosa,0.074815,-0.003542,-0.004803,-0.067698,-0.100925,-0.020435
Rosa,-0.003736,-0.027717,-0.200429,-0.03289,-0.107349,0.131509
Rosa,-0.030874,-0.004646,0.057274,-0.068165,-0.142768,0.058983
Rosa,0.090128,0.114302,0.01743,0.000057,0.065255,0.053397
Rosa,0.051931,0.019238,-0.032912,-0.086342,-0.076295,-0.05413
Rosa,0.206019,0.022182,0.034913,-0.048557,0.085459,0.054043
Rosa,-0.006749,0.036629,-0.048045,-0.007317,-0.094263,0.119683
Rosa,0.066825,0.007038,0.008914,-0.073857,-0.115218,-0.073776
Rosa,0.04733,-0.0052,0.002987,-0.07203,-0.073263,0.058787
Rosa,-0.059687,0.133169,0.053575,0.028015,-0.00453,-0.116652
Rosa,-0.087799,0.114342,-0.088601,-0.057069,-0.000744,0.046681
Rosa,-0.15093,0.104227,0.025275,-0.040707,-0.108484,-0.081648
Rosa,-0.073543,0.01888,-0.098679,-0.053052,-0.124948,-0.015272
Rosa,-0.047138,0.089174,0.060082,-0.01726,-0.044731,-0.051021
Rosa,-0.057143,0.135187,-0.074592,-0.071839,0.060542,-0.074697
Rosa,-0.058631,0.099632,-0.097432,-0.075165,0.036008,-0.021738
Rosa,-0.098873,0.089751,0.009513,-0.065282,-0.093831,-0.104355
Canadian,-0.117774,0.056991,-0.006907,-0.006896,0.026757,0.009884
Canadian,-0.146992,0.084057,0.10485,0.073027,-0.032336,-0.02064
Canadian,-0.104947,0.058548,-0.025321,0.022651,-0.007675,0.036961
Canadian,-0.103851,-0.019152,0.035788,-0.010192,-0.045727,-0.045313
Canadian,-0.063605,-0.031193,-0.016971,-0.041621,0.103487,0.050714
Canadian,-0.111907,-0.050937,0.060054,-0.060191,0.092176,0.073028
Canadian,0.007134,-0.093178,-0.072449,-0.117132,0.10684,-0.037385
Canadian,-0.008102,-0.025987,0.013574,0.059415,0.018811,-0.022407
Canadian,-0.035588,0.012876,-0.05142,-0.046919,0.061223,-0.060701
Canadian,-0.110321,-0.109095,0.13468,-0.05473,0.093849,0.052497
Canadian,-0.089138,-0.019186,0.046693,-0.037442,0.009176,-0.063174
Canadian,-0.093257,0.028995,0.05997,0.034917,0.106158,0.089004
Canadian,-0.091945,0.01984,-0.003523,-0.041262,0.0773,-0.001171
Canadian,-0.000939,-0.108858,0.009991,-0.045215,0.121549,0.019691
Canadian,-0.069255,-0.075914,-0.002266,-0.11164,0.041806,-0.042737
Canadian,-0.056932,-0.054779,0.070816,-0.031558,0.096221,0.023134
Canadian,-0.033882,-0.128226,0.003914,-0.069597,-0.014116,-0.062678
Canadian,-0.072907,0.012996,-0.091395,-0.051649,0.179338,0.159552
Canadian,-0.064975,0.001471,-0.009807,-0.05227,0.171819,0.052912
Canadian,-0.058449,-0.019612,0.039548,-0.042891,0.102839,-0.003839
Canadian,-0.07789,0.013198,-0.015294,-0.092955,0.048972,-0.109017
Canadian,-0.023057,-0.000475,0.055199,-0.003874,0.052978,-0.121742
Canadian,-0.035355,-0.030936,-0.006929,0.017894,0.078468,0.061329
Canadian,-0.071235,-0.013872,0.00447,-0.000053,0.012227,-0.013497
Canadian,-0.058204,-0.085056,0.052394,-0.014891,-0.009231,0.005094
Canadian,0.023212,-0.07151,-0.046093,-0.04325,-0.023792,-0.159586
Canadian,-0.071562,0.010161,-0.02856,-0.027353,0.047656,0.009689
Canadian,-0.05479,-0.00441,0.044057,-0.028816,0.054042,-0.107543
Canadian,0.011969,-0.056288,-0.033737,-0.0548,0.132667,0.016858
Canadian,-0.005845,-0.101056,-0.056749,-0.102355,0.087427,0.004518
Canadian,-0.12103,-0.075806,0.160958,0.006856,0.072084,0.071849
Canadian,-0.079942,-0.062465,0.068522,0.049218,0.026688,0.096899
Canadian,-0.022133,-0.103766,-0.013985,-0.052285,0.059418,0.026275
Canadian,-0.05595,-0.064247,0.001566,-0.035039,0.062549,0.059305
Canadian,-0.096463,-0.10873,0.08867,-0.07532,0.106853,0.067481
Canadian,-0.098564,-0.153709,0.074781,-0.088275,-0.067519,-0.061847
Canadian,-0.018858,-0.070102,0.050114,-0.010438,0.0864,0.014688
Canadian,0.020255,-0.130088,0.097965,-0.00151,0.100025,-0.006508
Canadian,0.005116,-0.045999,0.065447,0.058526,0.073594,0.007233
Canadian,-0.042697,-0.063631,-0.031463,-0.077884,0.050118,-0.076958
Canadian,0.052502,-0.076066,0.03148,0.071711,0.072134,0.000767
Canadian,-0.086894,-0.020975,0.021585,0.009565,-0.048905,-0.042664
Canadian,-0.051154,-0.021551,0.008987,-0.000795,0.012657,-0.029873
Canadian,-0.059142,-0.051322,0.005756,-0.033168,-0.00242,-0.029279
Canadian,-0.144459,0.040169,0.093715,0.054724,-0.015563,-0.000297
Canadian,-0.017061,-0.03918,0.020879,-0.026625,0.150811,0.013878
Canadian,-0.067179,0.001633,0.024539,-0.042734,0.127617,0.0105
Canadian,0.023813,-0.124193,0.027955,-0.031933,0.093724,0.00082
Canadian,-0.060732,-0.061757,0.132748,0.08565,-0.012976,0.018193
Canadian,-0.015464,-0.176562,0.088519,-0.004363,-0.035421,-0.035557
Canadian,-0.045142,-0.109683,0.024988,-0.056405,0.047338,0.033682
Canadian,-0.015173,-0.109208,0.038421,-0.028098,0.012304,-0.06265
Canadian,-0.047968,-0.070909,0.043662,-0.028296,-0.074165,-0.165479
Canadian,-0.009553,-0.112402,0.077775,-0.040015,0.107885,0.006198
Canadian,-0.070602,-0.066188,0.040594,0.015114,-0.02667,-0.032294
Canadian,-0.051968,-0.040919,-0.007725,0.061734,-0.073621,0.002167
Canadian,-0.023522,-0.00243,0.009859,0.099291,-0.022525,0.002209
Canadian,-0.016945,0.016045,0.000782,0.079322,-0.037069,-0.05096
Canadian,-0.029274,-0.002593,-0.015584,-0.01382,0.065665,-0.048768
Canadian,-0.018432,-0.075136,-0.07187,0.018238,-0.092021,-0.058017
Canadian,-0.082321,-0.02838,0.000503,0.024487,-0.011684,0.045782
Canadian,0.019817,-0.093965,-0.124602,0.001641,-0.075083,-0.042875
Canadian,0.041823,-0.125007,0.049908,0.027616,0.008048,-0.074966
Canadian,-0.085164,0.027131,0.097834,0.16047,-0.08626,0.031012
Canadian,-0.04198,-0.047289,-0.061591,-0.012453,0.025061,0.038182
Canadian,0.017282,-0.073489,0.008386,0.050992,-0.018411,-0.064648
Canadian,-0.032949,-0.105168,0.066291,-0.012171,0.019613,-0.044747
Canadian,-0.167027,0.017047,0.074898,0.116148,-0.139972,0.086047
Canadian,0.001776,-0.066049,-0.02637,-0.026618,0.053784,-0.029011
Canadian,-0.059341,-0.018602,0.05972,0.064028,-0.023323,-0.025807
