@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A4-N500-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R1-7

@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric

@data
Canadian,-0.066268,-0.041082,0.066082,-0.11382
Canadian,0.048805,-0.091976,-0.011921,-0.019663
Canadian,-0.012548,-0.08293,-0.014783,-0.030312
Canadian,-0.024161,-0.112447,-0.00618,-0.025525
Canadian,0.119318,-0.09681,-0.031598,0.028171
Canadian,-0.054449,-0.051868,0.007256,0.009791
Canadian,-0.043748,-0.087439,-0.039313,0.033354
Canadian,-0.052829,-0.063033,0.07003,-0.039912
Canadian,0.065591,-0.121139,0.056946,-0.070974
Canadian,0.071316,-0.097358,0.110926,-0.06933
Canadian,-0.038461,-0.11335,0.058858,0.017209
Canadian,0.02209,-0.076619,0.036726,-0.057935
Canadian,0.091045,-0.090537,-0.035792,-0.105028
Canadian,-0.009133,-0.083561,0.054565,-0.016548
Canadian,0.085221,-0.063284,0.039683,-0.005801
Canadian,0.026087,-0.057531,0.051037,-0.029168
Canadian,-0.012406,-0.051499,0.023659,-0.073425
Canadian,0.00056,-0.039098,-0.017607,-0.092186
Canadian,-0.024037,-0.038134,-0.035067,-0.018687
Canadian,0.003743,-0.030662,0.048862,-0.049367
Canadian,0.00041,-0.082741,0.037713,0.029529
Canadian,-0.068957,-0.017042,0.066335,-0.054586
Canadian,0.007893,-0.052898,0.064075,-0.132415
Canadian,0.056785,-0.114415,0.019155,-0.08688
Canadian,-0.060796,-0.050673,0.043573,0.035877
Canadian,0.011484,-0.030073,0.043864,-0.102834
Canadian,0.053809,-0.077709,0.046714,-0.040262
Canadian,0.112137,-0.128575,0.047119,0.03675
Canadian,-0.06167,-0.052458,0.017874,-0.036815
Canadian,0.050258,-0.080127,0.008587,-0.057082
