@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A3-N1000-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R1-7

@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric

@data
Rosa,0.106872,0.08865,-0.109865
Rosa,0.062134,0.095313,-0.052445
Rosa,-0.12194,-0.014005,-0.044515
Rosa,-0.204715,-0.020895,-0.068231
Rosa,0.05981,-0.006999,-0.000816
Rosa,-0.063594,-0.129246,0.010111
Rosa,0.100417,0.079839,-0.016295
Rosa,-0.07401,0.068404,-0.038033
Rosa,0.028071,-0.015227,-0.025678
Rosa,0.058423,0.015049,-0.158778
Rosa,-0.04335,0.015445,0.045977
Rosa,0.064455,0.002646,0.020523
Rosa,0.072188,0.019969,-0.070824
Rosa,-0.066672,0.106198,0.078249
Rosa,-0.147093,0.031884,-0.024573
Rosa,-0.053835,0.105799,0.08688
Rosa,-0.043269,-0.03679,0.054395
Rosa,0.01873,0.108817,-0.003331
Rosa,-0.14561,0.025103,-0.056415
Rosa,-0.128154,-0.000441,-0.064204
Rosa,-0.031051,0.074834,0.044854
Canadian,-0.105892,0.046082,0.027573
Canadian,-0.055334,0.141967,0.13836
Canadian,-0.11784,0.03387,0.078585
Canadian,-0.020346,0.023338,0.089155
Canadian,-0.074164,-0.020579,-0.063806
Canadian,-0.056532,0.036321,-0.04538
Canadian,-0.042393,-0.121448,-0.111758
Canadian,-0.007527,-0.019203,0.063964
Canadian,-0.08484,-0.040109,-0.020364
Canadian,0.050747,0.057111,-0.081167
Canadian,-0.035097,0.022237,0.047996
Canadian,-0.108356,0.073796,0.019759
Canadian,-0.097327,0.017365,-0.023255
Canadian,0.010282,-0.063811,-0.096522
Canadian,-0.030646,-0.043763,-0.039915
Canadian,-0.039041,0.018945,-0.013382
Canadian,0.052813,-0.076822,-0.002811
Canadian,-0.180319,-0.034006,-0.129696
Canadian,-0.113243,0.000383,-0.109632
Canadian,-0.076899,0.012839,-0.015834
Canadian,-0.064275,-0.00813,-0.037338
Canadian,-0.02921,0.011506,0.047892
Canadian,-0.058821,-0.0202,-0.006034
Canadian,-0.028402,0.001308,0.023408
Canadian,-0.012318,-0.011657,0.08405
Canadian,0.01611,-0.10948,0.046186
Canadian,-0.099381,-0.009038,0.009822
Canadian,-0.017749,0.015261,0.000315
Canadian,-0.090568,-0.074838,-0.051574
Canadian,-0.050863,-0.107731,-0.073877
Canadian,0.036566,0.09665,-0.011698
Canadian,-0.008183,0.031082,0.052567
Canadian,-0.017135,-0.071921,-0.032481
Canadian,-0.060002,-0.028616,-0.005269
Canadian,0.017648,0.023023,-0.09992
Canadian,0.09128,-0.023909,0.035982
Canadian,-0.024137,-0.014776,0.001474
Canadian,0.056644,-0.026309,-0.019762
Canadian,-0.024766,-0.000559,0.066262
Canadian,0.017725,-0.062541,-0.088894
Canadian,-0.002897,-0.05347,0.061438
Canadian,-0.008238,0.009668,0.087599
Canadian,-0.039173,-0.010388,0.051712
Canadian,-0.038802,-0.028018,0.057261
Canadian,-0.021104,0.113861,0.083111
Canadian,-0.050841,-0.017733,-0.078059
Canadian,-0.090743,0.019541,-0.0522
Canadian,0.015003,-0.071439,-0.034044
Canadian,0.023589,0.057432,0.147676
Canadian,0.114906,-0.049085,0.068136
Canadian,-0.015003,-0.042723,-0.006136
Canadian,0.045491,-0.050652,0.022548
Canadian,0.061074,-0.027822,0.094894
Canadian,0.018291,-0.021021,-0.043519
Canadian,0.051121,-0.002774,0.039618
Canadian,0.012837,-0.023355,0.112367
Canadian,-0.02776,-0.002588,0.129395
Canadian,-0.023292,-0.00436,0.125326
Canadian,-0.044013,-0.023026,-0.020053
Canadian,0.037021,-0.100336,0.079324
Canadian,-0.03372,0.00008,0.056303
Canadian,0.01603,-0.156235,0.058054
Canadian,0.071125,-0.070033,0.069014
Canadian,-0.030028,0.091409,0.251795
Canadian,-0.044348,-0.064006,-0.009089
Canadian,0.045263,-0.059359,0.077396
Canadian,0.056646,-0.021927,0.018823
Canadian,-0.013533,0.106371,0.211622
Canadian,-0.024172,-0.072966,-0.008342
Canadian,0.001296,0.029399,0.112278
